Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2021-04-20 04:39:05	433	6301	2	112	0	0	132	0	0	114	0	0	124	0	0	120.5	0	1.622		199.073	104.524	0.0918365	0	0.461321	0.019046	5.96276	4		0.0088623	12.1679	28.0321	0	53.1327	4.87844	
2021-04-20 05:12:46	624	6302	1	40	0	0	112	0	0	64	0	0	88	0	0	76	0	12.457		199.078	90.6135	0.0011241	0	0.00564654	0.122499	0.851478	2		0.0088623	12.0882	29.4615	0	53.1327	4.87843	
2021-04-20 03:46:58	155	6303	1	8	0	0	70	0	0	28	0	0	48	0	0	38.5	0	10.765		199.02	103.803	0.00217023	0	0.0109046	0.00569031	1.46887	2		0	12.4161	26.6027	0	53.1327	4.87844	
2021-04-20 04:14:06	297	6305	1	12	0	0	152	0	0	58	0	0	104	0	0	81.5	0	24.279		199.045	116.143	0.00189224	0	0.0095066	0.0281693	2.83565	2		0	12.3895	27.3823	0	53.1327	4.87843	
2021-04-20 04:41:04	444	6307	2	48	0	0	76	0	0	56	0	0	66	0	0	61.5	0	4.674		199.071	95.7574	0.00373457	0	0.01876	0.0112587	0.98684	4		0.0088623	12.3541	28.0321	0	53.1327	4.87844	
2021-04-20 05:35:09	742	6308	1	90	0	0	120	0	0	100	0	0	110	0	0	105	0	5.19		199.083	79.7524	0.00372406	0	0.018706	0.0261381	1.17533	2		0.0088623	12.0439	28.4219	0	53.1327	4.87844	
2021-04-20 05:12:55	625	6309	3	48	0	0	120	0	0	70	0	0	102	0	0	85	0	11.216		199.082	80.8339	0.00120215	0	0.00603849	0.0225722	0.607137	2		0	12.292	29.3315	0	53.1327	4.87843	
2021-04-20 04:26:44	364	6311	1	74	0	0	88	0	0	76	0	0	86	0	0	81	0	1.408		199.065	89.9681	0.207333	0	1.04153	0.870731	7.85299	4		0.0088623	12.1857	27.5123	0	53.1327	4.87843	
2021-04-20 04:34:00	402	6312	2	56	0	0	76	0	0	58	0	0	72	0	0	65.5	0	1.781		199.074	94.7658	0.0467732	0	0.234954	0.0344334	2.33606	4		0	12.1768	27.6422	0	53.1327	4.87843	
2021-04-20 04:34:55	407	6313	2	66	0	0	86	0	0	68	0	0	82	0	0	75.5	0	1.781		199.072	87.9684	0.0966525	0	0.485515	0.0416165	4.82729	2		0	12.3629	27.6422	0	53.1327	4.87843	
2021-04-20 03:48:17	162	6314	2	36	0	0	98	0	0	52	0	0	82	0	0	67	0	9.402		199.023	104.763	0.00214487	0	0.010777	0.076631	0.830623	2		0.0088623	12.2477	27.1224	0	53.1327	4.87844	
