Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2021-04-23 22:21:31	1157	9130	1	94	0	0	103	0	0	95	0	0	96	0	0	97	0	0.536		199.185	402.861	2.74848	0	13.7986	0.0245633	167.419	1		0.0088623	11.973	34.1395	0	51.673	4.02811	
2021-04-23 22:05:06	1003	9131	1	64	0	0	130	0	0	70	0	0	76	0	0	85	0	3.177		198.224	580.577	0.162826	0	0.821426	0.841401	60.5877	1		0.0088623	11.9552	35.5689	0	51.673	4.02811	
2021-04-23 22:16:55	1113	9132	3	108	0	0	126	0	0	114	0	0	116	0	0	116	0	2.989		199.181	402.744	0.104374	0	0.524016	0.0972368	56.4427	1		0.0088623	12.2743	33.8796	0	51.673	4.0281	
2021-04-23 22:20:18	1145	9133	2	92	0	0	101	0	0	94	0	0	95	0	0	95.5	0	1.018		199.181	397.262	0.773614	0	3.88397	0.155328	128.119	1		0.0088623	11.9021	34.0096	0	51.673	4.02811	
2021-04-23 22:16:19	1107	9135	1	87	0	0	105	0	0	89	0	0	91	0	0	93	0	1.071		199.189	366.957	0.915917	0	4.59823	0.00270728	111.581	1		0.0088623	12.2743	33.8796	0	51.673	4.0281	
2021-04-23 22:06:36	1017	9136	1	72	0	0	138	0	0	126	0	0	132	0	0	117	0	3.177		158.302	584.931	0.129402	0	0.817435	0.674137	60.2933	1		0.0088623	12.3275	35.0491	0	51.673	4.02811	
2021-04-23 22:03:32	991	9137	2	66	0	0	138	0	0	78	0	0	84	0	0	91.5	0	5.854		194.026	588.3	0.0371709	0	0.191578	0.673997	40.6255	1		0.0088623	12.3186	36.2187	0	51.673	4.0281	
2021-04-23 22:21:07	1153	9138	1	102	0	0	111	0	0	103	0	0	104	0	0	105	0	0.536		199.18	435.872	3.40664	0	17.1034	0.0445759	207.516	1		0.0088623	11.9287	34.1395	0	51.673	4.0281	
2021-04-23 22:17:42	1121	9139	4	112	0	0	130	0	0	120	0	0	122	0	0	121	0	3.413		199.169	490.746	0.088228	0	0.442981	0.142116	55.6666	1		0.0088623	11.973	33.8796	0	51.673	4.0281	
2021-04-23 22:09:35	1044	9140	1	70	0	0	124	0	0	100	0	0	106	0	0	100	0	8.968		191.938	595.323	0.0137957	0	0.0718757	0.0822921	23.2256	1		0.0088623	11.9021	34.2695	0	51.673	4.0281	
2021-04-23 22:15:56	1103	9141	4	104	0	0	122	0	0	112	0	0	114	0	0	113	0	3.413		199.17	488.165	0.0998854	0	0.501507	0.539448	63.0213	1		0.0088623	11.9552	33.8796	0	51.673	4.02811	
